	Questions	Queries	Pairs	Masked Questions
6132	What are the names of all campuses located at Chico?	"SELECT campus FROM campuses WHERE LOCATION  =  ""Chico"""	"/* Answer the following: What are the names of all campuses located at Chico? */
SELECT campus FROM campuses WHERE LOCATION  =  ""Chico""
"	What are the names of all <mask> located at <mask>?
6133	What campuses are located in Chico?	"SELECT campus FROM campuses WHERE LOCATION  =  ""Chico"""	"/* Answer the following: What campuses are located in Chico? */
SELECT campus FROM campuses WHERE LOCATION  =  ""Chico""
"	What <mask> are located in <mask>?
6134	Find all the campuses opened in 1958.	SELECT campus FROM campuses WHERE YEAR  =  1958	"/* Answer the following: Find all the campuses opened in 1958. */
SELECT campus FROM campuses WHERE YEAR  =  1958
"	Find all the <mask> opened in 1958.
6135	What are the campuses that opened in 1958?	SELECT campus FROM campuses WHERE YEAR  =  1958	"/* Answer the following: What are the campuses that opened in 1958? */
SELECT campus FROM campuses WHERE YEAR  =  1958
"	What are the <mask> that opened in 1958?
6136	Find the name of the campuses opened before 1800.	SELECT campus FROM campuses WHERE YEAR  <  1800	"/* Answer the following: Find the name of the campuses opened before 1800. */
SELECT campus FROM campuses WHERE YEAR  <  1800
"	Find the name of the <mask> opened before 1800.
6137	What campuses opened before 1800?	SELECT campus FROM campuses WHERE YEAR  <  1800	"/* Answer the following: What campuses opened before 1800? */
SELECT campus FROM campuses WHERE YEAR  <  1800
"	What <mask> opened before 1800?
6138	Which campus was opened between 1935 and 1939?	SELECT campus FROM campuses WHERE YEAR  >=  1935 AND YEAR  <=  1939	"/* Answer the following: Which campus was opened between 1935 and 1939? */
SELECT campus FROM campuses WHERE YEAR  >=  1935 AND YEAR  <=  1939
"	Which <mask> was opened between 1935 and 1939?
6139	What campuses opened between 1935 and 1939?	SELECT campus FROM campuses WHERE YEAR  >=  1935 AND YEAR  <=  1939	"/* Answer the following: What campuses opened between 1935 and 1939? */
SELECT campus FROM campuses WHERE YEAR  >=  1935 AND YEAR  <=  1939
"	What <mask> opened between 1935 and 1939?
6140	Find the name of the campuses that is in Northridge, Los Angeles or in San Francisco, San Francisco.	"SELECT campus FROM campuses WHERE LOCATION  =  ""Northridge"" AND county  =  ""Los Angeles"" UNION SELECT campus FROM campuses WHERE LOCATION  =  ""San Francisco"" AND county  =  ""San Francisco"""	"/* Answer the following: Find the name of the campuses that is in Northridge, Los Angeles or in San Francisco, San Francisco. */
SELECT campus FROM campuses WHERE LOCATION  =  ""Northridge"" AND county  =  ""Los Angeles"" UNION SELECT campus FROM campuses WHERE LOCATION  =  ""San Francisco"" AND county  =  ""San Francisco""
"	Find the name of the <mask> that is in <mask>, <mask> <mask> or in <mask> <mask>, <mask> <mask>.
6141	What campuses are located in Northridge, Los Angeles or in San Francisco, San Francisco?	"SELECT campus FROM campuses WHERE LOCATION  =  ""Northridge"" AND county  =  ""Los Angeles"" UNION SELECT campus FROM campuses WHERE LOCATION  =  ""San Francisco"" AND county  =  ""San Francisco"""	"/* Answer the following: What campuses are located in Northridge, Los Angeles or in San Francisco, San Francisco? */
SELECT campus FROM campuses WHERE LOCATION  =  ""Northridge"" AND county  =  ""Los Angeles"" UNION SELECT campus FROM campuses WHERE LOCATION  =  ""San Francisco"" AND county  =  ""San Francisco""
"	What <mask> are located in <mask>, <mask> <mask> or in <mask> <mask>, <mask> <mask>?
6146	Find the count of universities whose campus fee is greater than the average campus fee.	SELECT count(*) FROM csu_fees WHERE campusfee  >  (SELECT avg(campusfee) FROM csu_fees)	"/* Answer the following: Find the count of universities whose campus fee is greater than the average campus fee. */
SELECT count(*) FROM csu_fees WHERE campusfee  >  (SELECT avg(campusfee) FROM csu_fees)
"	Find the <mask> of universities whose campus fee is greater than the average campus fee.
6147	How many universities have a campus fee higher than average?	SELECT count(*) FROM csu_fees WHERE campusfee  >  (SELECT avg(campusfee) FROM csu_fees)	"/* Answer the following: How many universities have a campus fee higher than average? */
SELECT count(*) FROM csu_fees WHERE campusfee  >  (SELECT avg(campusfee) FROM csu_fees)
"	How many universities have a campus fee higher than average?
6148	Find the count of universities whose campus fee is greater than the average campus fee.	SELECT count(*) FROM csu_fees WHERE campusfee  >  (SELECT avg(campusfee) FROM csu_fees)	"/* Answer the following: Find the count of universities whose campus fee is greater than the average campus fee. */
SELECT count(*) FROM csu_fees WHERE campusfee  >  (SELECT avg(campusfee) FROM csu_fees)
"	Find the <mask> of universities whose campus fee is greater than the average campus fee.
6149	How many universities have a campus fee greater than the average?	SELECT count(*) FROM csu_fees WHERE campusfee  >  (SELECT avg(campusfee) FROM csu_fees)	"/* Answer the following: How many universities have a campus fee greater than the average? */
SELECT count(*) FROM csu_fees WHERE campusfee  >  (SELECT avg(campusfee) FROM csu_fees)
"	How many universities have a campus fee greater than the average?
6150	Which university is in Los Angeles county and opened after 1950?	"SELECT campus FROM campuses WHERE county  =  ""Los Angeles"" AND YEAR  >  1950"	"/* Answer the following: Which university is in Los Angeles county and opened after 1950? */
SELECT campus FROM campuses WHERE county  =  ""Los Angeles"" AND YEAR  >  1950
"	Which university is in <mask> <mask> <mask> and opened after 1950?
6151	What campuses are located in Los Angeles county and opened after 1950?	"SELECT campus FROM campuses WHERE county  =  ""Los Angeles"" AND YEAR  >  1950"	"/* Answer the following: What campuses are located in Los Angeles county and opened after 1950? */
SELECT campus FROM campuses WHERE county  =  ""Los Angeles"" AND YEAR  >  1950
"	What <mask> are located in <mask> <mask> <mask> and opened after 1950?
6152	Which year has the most degrees conferred?	SELECT YEAR FROM degrees GROUP BY YEAR ORDER BY sum(degrees) DESC LIMIT 1	"/* Answer the following: Which year has the most degrees conferred? */
SELECT YEAR FROM degrees GROUP BY YEAR ORDER BY sum(degrees) DESC LIMIT 1
"	Which year has the most <mask> conferred?
6153	In what year was the most degrees conferred?	SELECT YEAR FROM degrees GROUP BY YEAR ORDER BY sum(degrees) DESC LIMIT 1	"/* Answer the following: In what year was the most degrees conferred? */
SELECT YEAR FROM degrees GROUP BY YEAR ORDER BY sum(degrees) DESC LIMIT 1
"	In what year was the most <mask> conferred?
6154	Which campus has the most degrees conferred in all times?	SELECT campus FROM degrees GROUP BY campus ORDER BY sum(degrees) DESC LIMIT 1	"/* Answer the following: Which campus has the most degrees conferred in all times? */
SELECT campus FROM degrees GROUP BY campus ORDER BY sum(degrees) DESC LIMIT 1
"	Which <mask> has the most <mask> conferred in all times?
6155	What campus has the most degrees  conferrred over its entire existence?	SELECT campus FROM degrees GROUP BY campus ORDER BY sum(degrees) DESC LIMIT 1	"/* Answer the following: What campus has the most degrees  conferrred over its entire existence? */
SELECT campus FROM degrees GROUP BY campus ORDER BY sum(degrees) DESC LIMIT 1
"	What <mask> has the most <mask>  conferrred over its entire existence?
6158	Find the average fee on a CSU campus in 1996	SELECT avg(campusfee) FROM csu_fees WHERE YEAR  =  1996	"/* Answer the following: Find the average fee on a CSU campus in 1996 */
SELECT avg(campusfee) FROM csu_fees WHERE YEAR  =  1996
"	Find the average fee on a CSU campus in 1996
6159	What is the average fee for a CSU campus in the year of 1996?	SELECT avg(campusfee) FROM csu_fees WHERE YEAR  =  1996	"/* Answer the following: What is the average fee for a CSU campus in the year of 1996? */
SELECT avg(campusfee) FROM csu_fees WHERE YEAR  =  1996
"	What is the average fee for a CSU campus in the year of 1996?
6160	What is the average fee on a CSU campus in 2005?	SELECT avg(campusfee) FROM csu_fees WHERE YEAR  =  2005	"/* Answer the following: What is the average fee on a CSU campus in 2005? */
SELECT avg(campusfee) FROM csu_fees WHERE YEAR  =  2005
"	What is the average fee on a CSU campus in 2005?
6161	What is the average fee for a CSU campus in the year of 2005?	SELECT avg(campusfee) FROM csu_fees WHERE YEAR  =  2005	"/* Answer the following: What is the average fee for a CSU campus in the year of 2005? */
SELECT avg(campusfee) FROM csu_fees WHERE YEAR  =  2005
"	What is the average fee for a CSU campus in the year of 2005?
6170	How many campuses are there in Los Angeles county?	"SELECT count(*) FROM campuses WHERE county  =  ""Los Angeles"""	"/* Answer the following: How many campuses are there in Los Angeles county? */
SELECT count(*) FROM campuses WHERE county  =  ""Los Angeles""
"	How many <mask> are there in <mask> <mask> <mask>?
6171	How many campuses exist are in the county of LA?	"SELECT count(*) FROM campuses WHERE county  =  ""Los Angeles"""	"/* Answer the following: How many campuses exist are in the county of LA? */
SELECT count(*) FROM campuses WHERE county  =  ""Los Angeles""
"	How many <mask> exist are in the <mask> of LA?
6172	List the campuses in Los Angeles county.	"SELECT campus FROM campuses WHERE county  =  ""Los Angeles"""	"/* Answer the following: List the campuses in Los Angeles county. */
SELECT campus FROM campuses WHERE county  =  ""Los Angeles""
"	List the <mask> in <mask> <mask> <mask>.
6173	What campuses are in Los Angeles county?	"SELECT campus FROM campuses WHERE county  =  ""Los Angeles"""	"/* Answer the following: What campuses are in Los Angeles county? */
SELECT campus FROM campuses WHERE county  =  ""Los Angeles""
"	What <mask> are in <mask> <mask> <mask>?
6178	How many faculty is there in total in the year of 2002?	SELECT sum(faculty) FROM faculty WHERE YEAR  =  2002	"/* Answer the following: How many faculty is there in total in the year of 2002? */
SELECT sum(faculty) FROM faculty WHERE YEAR  =  2002
"	How many <mask> is there in total in the year of 2002?
6179	How many faculty, in total, are there in the year 2002?	SELECT sum(faculty) FROM faculty WHERE YEAR  =  2002	"/* Answer the following: How many faculty, in total, are there in the year 2002? */
SELECT sum(faculty) FROM faculty WHERE YEAR  =  2002
"	How many <mask>, in total, are there in the year 2002?
6198	How many CSU campuses are there?	SELECT count(*) FROM campuses	"/* Answer the following: How many CSU campuses are there? */
SELECT count(*) FROM campuses
"	How many CSU <mask> are there?
